item_name,displayName,category,status,source_png,dest_rel_path,sprite_w,sprite_h,tex_w_note
Weapon_Arbiter2,Arbiter 2,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemArtbiter2.png,assets/weapons/Weapon_Arbiter2.png,437.88,252.95,tex=496x288 ATLAS_SUBRECT rect=438x253 (crop needed)
Weapon_Augusta,Augusta,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Augusta.png,assets/weapons/Weapon_Augusta.png,1240.0,235.92,tex=1240x236
Weapon_Balthazar,.357 Balthazar,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemBalthazar.png,assets/weapons/Weapon_Balthazar.png,278.85,167.9,tex=288x200 ATLAS_SUBRECT rect=279x168 (crop needed)
Weapon_Beck,Beck 8,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemBeck8.png,assets/weapons/Weapon_Beck.png,161.85,148.85,tex=180x160 ATLAS_SUBRECT rect=162x149 (crop needed)
Weapon_Blackwater,Blackwater,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemBlackwater.png,assets/weapons/Weapon_Blackwater.png,270.85,114.85,tex=288x128 ATLAS_SUBRECT rect=271x115 (crop needed)
Weapon_Bo,Bo,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Bo.png,assets/weapons/Weapon_Bo.png,704.95,33.85,tex=740x76 ATLAS_SUBRECT rect=705x34 (crop needed)
Weapon_Breacher8,Breacher 8,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemBreacher8.png,assets/weapons/Weapon_Breacher8.png,784.0,304.0,tex=784x304
Weapon_Bronco,Bronco 89,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemBroncoModel89.png,assets/weapons/Weapon_Bronco.png,220.9,112.87,tex=240x148 ATLAS_SUBRECT rect=221x113 (crop needed)
Weapon_CYB47,CYB47,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemCYB47.png,assets/weapons/Weapon_CYB47.png,436.92,113.9,tex=440x144 ATLAS_SUBRECT rect=437x114 (crop needed)
Weapon_Catacoil,Catacoil Rapid X,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Catacoil_1.png,assets/weapons/Weapon_Catacoil.png,420.0,224.0,tex=420x224
Weapon_Cavalier,Cavalier,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemCavalier.png,assets/weapons/Weapon_Cavalier.png,214.88,152.85,tex=216x172 ATLAS_SUBRECT rect=215x153 (crop needed)
Weapon_Chat-Pardeur98,Chat-Pardeur 98,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemChatPardeur.png,assets/weapons/Weapon_Chat-Pardeur98.png,757.88,162.95,tex=780x180 ATLAS_SUBRECT rect=758x163 (crop needed)
Weapon_ChimeraRapid,Chimera Rapid,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemChimeraRapid.png,assets/weapons/Weapon_ChimeraRapid.png,295.88,178.91,tex=320x192 ATLAS_SUBRECT rect=296x179 (crop needed)
Weapon_Corpsemaker,Corpsemaker,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/UIHauklandCorpsemaker.png,assets/weapons/Weapon_Corpsemaker.png,647.9,277.97,tex=652x280 ATLAS_SUBRECT rect=648x278 (crop needed)
Weapon_CryoGrenade,Cryogenic Grenade,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Weapon_CryoGrenade.png,assets/weapons/Weapon_CryoGrenade.png,119.99,236.0,tex=120x236
Weapon_D4RT,D4RT,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemD4RT.png,assets/weapons/Weapon_D4RT.png,674.9,147.88,tex=700x200 ATLAS_SUBRECT rect=675x148 (crop needed)
