name,id,enchantmentName,IsElemental,CostsDurability,modifiersApplied,category
EnchantmentDefinition_ActionOil,1,Action Oil,0,1,KickMultiplier=1(PercentAdd);ReloadSpeed=0.8(PercentAdd),Oils/Reload
EnchantmentDefinition_AddDamageOil,2,Add Damage Oil,0,1,Damage=15(Flat),Oils/DamageFlat
EnchantmentDefinition_Aftershock,3,Aftershock,1,1,ProjectileOnHitAftershock=1(Flat),Upgraded
EnchantmentDefinition_AimlessOil,4,Aimless Oil,0,1,CritChance=0.3(Flat);DisableADS=1(Flat),Oils/CritChance
EnchantmentDefinition_AirSoftOil,5,Airsoft Oil,0,1,Damage=-15(Flat);ProjectileDrag=7(Flat);ReloadSpeed=1.2(PercentAdd),Oils/Reload
EnchantmentDefinition_AltruisticOil,6,Altruistic Oil,0,1,Spread=-0.7(Flat);ItemStat_LootChanceMultiplier=-0.3(PercentAdd),Oils/Spread
EnchantmentDefinition_ArkanoidOil,7,Arkanoid Oil,0,1,ProjectileBounce=10(Flat);ProjectileTimeScale=-0.8(Flat),Oils/Bounce
EnchantmentDefinition_ArrowOil,8,Arrow Oil,0,1,ProjectileTimeScale=0.8(Flat);Damage=-0.15(PercentAdd),Oils/BulletSpeed
EnchantmentDefinition_ArteryOil,9,Artery Oil,0,1,CritChance=0.1(Flat);ProjectileScale=-0.5(PercentMult),Oils/CritChance
EnchantmentDefinition_ArtilleryOil,10,Artillery Oil,0,1,Spread=-2(Flat);ProjectileMass=15(Flat),Oils/Spread
EnchantmentDefinition_AsceticOil,11,Ascetic Oil,0,1,Damage=30(Flat);DisableLootMoney=1(Flat),Oils/DamageFlat
EnchantmentDefinition_AssassinDartOil,12,Assassin Dart Oil,0,1,ProjectileTimeScale=0.7(Flat);ItemStat_MoveSpeed=-0.25(PercentAdd),Oils/BulletSpeed
EnchantmentDefinition_AttackSpeedOil,13,Attack Speed Oil,0,1,RPM=0.2(PercentAdd),Oils/RPM
EnchantmentDefinition_AxeOil,14,Axe Oil,0,1,CritChance=0.25(Flat);ProjectileMass=10(Flat),Oils/CritChance
