name,displayName,unitType,faction,randomizeHealth,base_MaxHealth,Resistance_Fire,Resistance_Frost,Resistance_Electric,Resistance_Poison,Resistance_Explosive,Resistance_Holy,Resistance_Shadow,Resistance_Earth,Resistance_Punish,Resistance_Bleed,Resistance_Petrified,Resistance_Charm,other_base_attributes
Arthur,Arthur,None,Congregation,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
Bill,Bill,None,Congregation,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
BlackGuildAssassin,Assassin,Melee,BlackGuild,0,300,,,,,,,,,,,,,Stat_MeleeDamage=50
BlackGuildBishop,Bishop,Ranged,BlackGuild,0,400,,,,,,,,,,,,,
BlackGuildBruiser,Bruiser,Melee,BlackGuild,0,200,,,,,,,,,,,,,Stat_MeleeDamage=35
BlackGuildCardinal,Cardinal,Ranged,BlackGuild,0,1250,,,,,,,,,,,,100,
BlackGuildDog,Dog,Melee,BlackGuild,0,180,,,,,,,,,,,,,Stat_MeleeDamage=40
BlackGuildLucia,Sankta Lucia,Boss,LuciaFaction,0,8000,100,100,100,100,50,75,75,100,,100,100,100,
BlackGuildLuciaEndless,Sankta Lucia (Endless),Boss,LuciaFaction,0,8000,100,100,100,100,50,75,75,100,,100,100,100,
BlackGuildLuciaEye,Lucias Eye,Boss,BlackGuild,0,5,100,100,100,100,100,100,100,100,,100,100,100,
BlackGuildLuciaEyeEndless,Lucias Eye,Boss,BlackGuild,0,5,100,100,100,100,100,100,100,100,,100,100,100,
BlackGuildMachinegunEmplacement,Machinegun Emplacement,Ranged,BlackGuild,0,200,,,,,,,,,,,,,
BlackGuildMaiden,Maiden,None,BlackGuild,0,10000,100,100,100,,,,,100,,,100,,
BlackGuildNovanianGuard,Novanian Guard,Melee|Big,BlackGuild,0,2000,,100,,,,,,100,,,100,100,
BlackGuildRifleman,Rifleman,Ranged,BlackGuild,0,200,,,,,,,,,,,,,
BlackGuildSapper,Sapper,Ranged,BlackGuild,0,600,,,,,,,,100,,,,,
BlackGuildSkeleton,Skeleton,Melee,Ghosts,0,120,,100,,,,,,,,,,,Stat_MeleeDamage=8
BlackGuildTracker,Tracker,Ranged,BlackGuild,0,200,,,,,,,,,,,,,
CondemnedBruiser,Condemned Bruiser,Melee,Condemned,0,200,,,,,,,,,,,,,Stat_MeleeDamage=30
GuardDog,Guard Dog,Melee,Player,0,300,,,,,,,,,,,,,Stat_MeleeDamage=60
BlondMagus,Blond magus,None,Congregation,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
CongregationRepairman,Ralphie,None,Congregation,0,1000,,,,,,,,,,,,,
CongregationScavenger,Stiff Leg,None,Congregation,0,1000,,,,,,,,,,,,,
CongregationScholar,Scholar,None,Congregation,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
CongregationTelia,Telia,None,Congregation,0,1000,,,,,,,,,,,,,
CongregationWiseOldWomanFB4,Wise Old Woman,None,Congregation,0,1000,,,,,,,,,,,,,
CongregationWiseOldWomanFB5,Wise Old Woman,None,Congregation,0,1000,,,,,,,,,,,,,
CorruptedAmalgamation,Corrupted Amalgamation,Melee,Corrupted,0,5000000,100,100,100,100,,,,60,,100,,,Stat_LungCapacity=5000000;Stat_MeleeDamage=30
CorruptedGoblinArcher,Archer,Ranged,Corrupted,0,175,,,,100,,,,,,,,,Stat_LungCapacity=10000
CorruptedGuildsman,Corrupted Guildsman,Melee,Corrupted,0,400,,,,100,,,,,,,,,Stat_MeleeDamage=50;Stat_LungCapacity=10000
CorruptedGuildsmanRanged,Ranged Corrupted Guildsman,Melee|Ranged,Corrupted,0,400,,,,100,,,,,,,,,Stat_MeleeDamage=50;Stat_LungCapacity=10000
CorruptedLurk,Corrupted Lurk,Swimmer,Corrupted,0,120,,,,100,,,,,,,,,Stat_MeleeDamage=50;Stat_LungCapacity=10000
