name,display,category,slots,basePrice,buffs_readable,primary_attribute,primary_total_effect,total_effect_per_slot
Item_Americano,Americano,Consumables/Drinks,1,35,Stat_HealthRegen Flat total=15 over 10s,Stat_HealthRegen,15,15.0
Item_Aspic,Aspic,Consumables/Foodstuffs,2,90,Stat_HealthRegen Flat total=15 over 0.1s,Stat_HealthRegen,15,7.5
Item_Banana,Banana,Consumables/Foodstuffs,2,30,Stat_HealthRegen Flat total=10 over 10s,Stat_HealthRegen,10,5.0
Item_BananaBread,Banana Bread,Consumables/Foodstuffs,2,90,Stat_HealthRegen Flat total=30 over 10s,Stat_HealthRegen,30,15.0
Item_BananaSulfs,Banana Sulfs,Consumables/Foodstuffs,1,20,Stat_HealthRegen Flat total=20 over 1s,Stat_HealthRegen,20,20.0
Item_BarkBread,Bark bread,Consumables/Foodstuffs,2,35,Stat_HealthRegen Flat total=10 over 10s,Stat_HealthRegen,10,5.0
Item_Beans,Beans,Consumables/Foodstuffs,1,120,Stat_HealthRegen Flat total=25 over 10s,Stat_HealthRegen,25,25.0
Item_BeefJerky,Beef Jerky,Consumables/Foodstuffs,1,60,Stat_HealthRegen Flat total=10 over 10s,Stat_HealthRegen,10,10.0
Item_Berries,Berries,Consumables/Foodstuffs,1,40,Stat_HealthRegen Flat total=10 over 10s,Stat_HealthRegen,10,10.0
Item_BiscuitsAndGravy,Biscuiits and Gravy,Consumables/Foodstuffs,2,130,Stat_HealthRegen Flat total=25 over 10s,Stat_HealthRegen,25,12.5
Item_BlackPepper,Black Pepper,Consumables/Foodstuffs,1,30,Stat_HealthRegen Flat total=1 over 10s,Stat_HealthRegen,1,1.0
Item_Blood,Blood,Consumables/Other,1,60,Stat_HealthRegen Flat total=5 over 10s,Stat_HealthRegen,5,5.0
Item_BloodPudding,Blood Pudding,Consumables/Foodstuffs,2,90,Stat_HealthRegen Flat total=30 over 10s,Stat_HealthRegen,30,15.0
Item_BobaTea,Boba Tea,Consumables/Drinks,2,60,Stat_HealthRegen Flat total=15 over 10s,Stat_HealthRegen,15,7.5
Item_BottledWater,Bottled Water,Consumables/Drinks,2,40,Stat_HealthRegen PercentAdd total=5 over 5s,Stat_HealthRegen,5,2.5
Item_Bread,Bread,Consumables/Foodstuffs,2,90,Stat_HealthRegen Flat total=15 over 10s,Stat_HealthRegen,15,7.5
Item_Broth,Broth,Consumables/Foodstuffs,2,40,Stat_HealthRegen Flat total=10 over 10s,Stat_HealthRegen,10,5.0
Item_Butter,Butter,Consumables/Foodstuffs,2,60,Stat_HealthRegen Flat total=15 over 10s,Stat_HealthRegen,15,7.5
Item_ButtermilkPancakes,Buttermilk Pancakes,Consumables/Foodstuffs,2,220,Stat_HealthRegen Flat total=30 over 10s,Stat_HealthRegen,30,15.0
Item_Cacao,Cacao,Consumables/Foodstuffs,1,40,Stat_HealthRegen Flat total=5 over 10s,Stat_HealthRegen,5,5.0
Item_Cactus,Cactus,Consumables/Foodstuffs,2,40,Stat_HealthRegen Flat total=3 over 10s,Stat_HealthRegen,3,1.5
Item_CactusDrink,Cactus Softdrink,Consumables/Drinks,2,60,Stat_HealthRegen Flat total=15 over 10s,Stat_HealthRegen,15,7.5
Item_CactusGrilled,Grilled Cactus,Consumables/Foodstuffs,2,80,Stat_HealthRegen Flat total=20 over 10s,Stat_HealthRegen,20,10.0
Item_CactusSweets,Lackerol Cactus,Consumables/Foodstuffs,1,30,Stat_HealthRegen Flat total=10 over 10s,Stat_HealthRegen,10,10.0
Item_CandyCane,Candy Cane,Consumables/Foodstuffs/Christmas,1,90,Stat_HealthRegen Flat total=20 over 0.1s,Stat_HealthRegen,20,20.0
Item_Cappuccino,Cappuccino,Consumables/Drinks,1,35,Stat_HealthRegen Flat total=35 over 10s,Stat_HealthRegen,35,35.0
Item_CaviarBottle,Bottled Caviar,Consumables/Foodstuffs,1,120,Stat_HealthRegen Flat total=25 over 10s,Stat_HealthRegen,25,25.0
Item_CaviarTubed,Tube Caviar,Consumables/Foodstuffs,2,240,Stat_HealthRegen Flat total=30 over 10s,Stat_HealthRegen,30,15.0
Item_Cereal,Cereal,Consumables/Foodstuffs,4,110,Stat_HealthRegen Flat total=35 over 10s,Stat_HealthRegen,35,8.75
Item_Cevapi,Cevapi,Consumables/Foodstuffs,2,220,Stat_HealthRegen Flat total=25 over 10s,Stat_HealthRegen,25,12.5
Item_Cheese,Cheese,Consumables/Foodstuffs,1,100,Stat_HealthRegen Flat total=15 over 10s,Stat_HealthRegen,15,15.0
Item_CheeseTops,Cheese Tops,Consumables/Foodstuffs,1,60,Stat_HealthRegen Flat total=25 over 10s,Stat_HealthRegen,25,25.0
Item_Cheeseburger,Cheeseburger,Consumables/Foodstuffs,1,250,Stat_HealthRegen Flat total=45 over 10s,Stat_HealthRegen,45,45.0
Item_ChickenNashvilleHot,Nashville Hot Chicken,Consumables/Foodstuffs,1,220,Stat_HealthRegen Flat total=25 over 10s; Resistance_Frost Flat total=6000 over 240s,Resistance_Frost,6000,6000.0
Item_ChocolateBall,Chocolate Ball,Consumables/Foodstuffs,1,85,Stat_HealthRegen Flat total=20 over 10s,Stat_HealthRegen,20,20.0
Item_ChocolateBar,Chocolate Bar,Consumables/Foodstuffs,2,180,Stat_HealthRegen Flat total=25 over 1s,Stat_HealthRegen,25,12.5
Item_ChocolateSyrup,Chocolate Syrup,Consumables/Foodstuffs,2,100,Stat_HealthRegen Flat total=10 over 1s,Stat_HealthRegen,10,5.0
Item_ChristmasSpice,Christmas Spice,Consumables/Foodstuffs,1,10,Stat_HealthRegen Flat total=1 over 2s,Stat_HealthRegen,1,1.0
Item_Cocktail,Cocktail,Consumables/Drinks,4,400,Stat_HealthRegen Flat total=15 over 10s; Stat_Charisma Flat total=3600 over 120s,Stat_Charisma,3600,900.0
Item_Coffee,Coffee,Consumables/Drinks,1,35,Stat_HealthRegen Flat total=20 over 10s,Stat_HealthRegen,20,20.0
Item_CordonBleu,Cordon Bleu,Consumables/Foodstuffs,2,350,Stat_HealthRegen Flat total=25 over 10s,Stat_HealthRegen,25,12.5
Item_CottonCandy,Cotton Candy,Consumables/Foodstuffs,2,130,Stat_HealthRegen Flat total=20 over 1s,Stat_HealthRegen,20,10.0
Item_CuissesDeGrenouille,Cuisses De Grenouille,Consumables/Foodstuffs,2,240,Stat_HealthRegen Flat total=35 over 10s,Stat_HealthRegen,35,17.5
