ingredient_name,ingredient_display,ingredient_category,qty_needed,recipe_name,recipe_type,produces_name,produces_display,product_slots,product_primary_attribute,product_primary_total_effect,product_total_effect_per_slot
<id924>,<id924>,,1,Recipe_BuddySandwich_1,cooking,Item_Broth,Broth,2,Stat_HealthRegen,10,5.0
Enchantment_Dark,Scroll of Dark,Enchantments,1,Recipe_Enchantment_Blizzard,enchantment,Enchantment_Blizzard,Scroll of Blizzard,2,,0,0.0
Enchantment_Dark,Scroll of Dark,Enchantments,1,Recipe_Enchantment_ChaosStrike,enchantment,Enchantment_ChaosStrike,Scroll of Chaos Strike,2,,0,0.0
Enchantment_Dark,Scroll of Dark,Enchantments,1,Recipe_Enchantment_Fear,enchantment,Enchantment_Fear,Scroll of Fear,2,,0,0.0
Enchantment_Dark,Scroll of Dark,Enchantments,1,Recipe_Enchantment_FlameThrower,enchantment,Enchantment_FlameThrower,Scroll Of Flame Thrower,2,,0,0.0
Enchantment_Dark,Scroll of Dark,Enchantments,2,Recipe_Enchantment_FoulFate,enchantment,Enchantment_FoulFate,Scroll of Foul Fate,2,,0,0.0
Enchantment_Dark,Scroll of Dark,Enchantments,1,Recipe_Enchantment_Metamorph,enchantment,Enchantment_Metamorph,Scroll of Metamorph,2,,0,0.0
Enchantment_Dark,Scroll of Dark,Enchantments,1,Recipe_Enchantment_Sacrifice,enchantment,Enchantment_Sacrifice,Scroll of Sacrifice,2,,0,0.0
Enchantment_Dark,Scroll of Dark,Enchantments,1,Recipe_Enchantment_Titanic,enchantment,Enchantment_Titanic,Scroll of Titanic,2,,0,0.0
Enchantment_Dark,Scroll of Dark,Enchantments,1,Recipe_Enchantment_Voodoo,enchantment,Enchantment_Voodoo,Scroll of Voodoo,2,,0,0.0
Enchantment_Earth,Scroll of Earth,Enchantments,2,Recipe_Enchantment_Aftershock,enchantment,Enchantment_Aftershock,Scroll of Aftershock,2,,0,0.0
Enchantment_Earth,Scroll of Earth,Enchantments,1,Recipe_Enchantment_CryoRocketLauncher,enchantment,Enchantment_CryoRocketLauncher,Scroll of Cryo Rocket Launcher,2,,0,0.0
Enchantment_Earth,Scroll of Earth,Enchantments,1,Recipe_Enchantment_Lava,enchantment,Enchantment_Lava,Scroll of Lava,2,,0,0.0
Enchantment_Earth,Scroll of Earth,Enchantments,1,Recipe_Enchantment_Noxiosa,enchantment,Enchantment_Noxiosa,Scroll of Noxiosa,2,,0,0.0
Enchantment_Earth,Scroll of Earth,Enchantments,1,Recipe_Enchantment_Petrification,enchantment,Enchantment_Petrification,Scroll of Petrification,2,,0,0.0
Enchantment_Earth,Scroll of Earth,Enchantments,1,Recipe_Enchantment_SacredGround,enchantment,Enchantment_SacredGround,Scroll of Sacred Ground,2,,0,0.0
Enchantment_Earth,Scroll of Earth,Enchantments,1,Recipe_Enchantment_Sacrifice,enchantment,Enchantment_Sacrifice,Scroll of Sacrifice,2,,0,0.0
Enchantment_Earth,Scroll of Earth,Enchantments,1,Recipe_Enchantment_StormSurge,enchantment,Enchantment_StormSurge,Scroll of Storm Surge,2,,0,0.0
Enchantment_Electricity,Scroll of Surge,Enchantments,1,Recipe_Enchantment_Beamgun,enchantment,Enchantment_Beamgun,Scroll of Beamgun,2,,0,0.0
Enchantment_Electricity,Scroll of Surge,Enchantments,2,Recipe_Enchantment_ChainLightning,enchantment,Enchantment_ChainLightning,Scroll of Chain Lightning,2,,0,0.0
Enchantment_Electricity,Scroll of Surge,Enchantments,1,Recipe_Enchantment_ChaosStrike,enchantment,Enchantment_ChaosStrike,Scroll of Chaos Strike,2,,0,0.0
Enchantment_Electricity,Scroll of Surge,Enchantments,1,Recipe_Enchantment_LeastRestistance,enchantment,Enchantment_LeastResistance,Scroll of Least Resistance,2,,0,0.0
Enchantment_Electricity,Scroll of Surge,Enchantments,1,Recipe_Enchantment_RocketLauncher,enchantment,Enchantment_RocketLauncher,Scroll of Rocket Launcher,2,,0,0.0
Enchantment_Electricity,Scroll of Surge,Enchantments,1,Recipe_Enchantment_StormSurge,enchantment,Enchantment_StormSurge,Scroll of Storm Surge,2,,0,0.0
Enchantment_Electricity,Scroll of Surge,Enchantments,1,Recipe_Enchantment_ThunderBolt,enchantment,Enchantment_Thunderbolt,Scroll of Thunderbolt,2,,0,0.0
Enchantment_Electricity,Scroll of Surge,Enchantments,1,Recipe_Enchantment_ToxicLobotomy,enchantment,Enchantment_ToxicLobotomy,Scroll of Toxic Lobotomy,2,,0,0.0
Enchantment_Fire,Scroll of Embers,Enchantments,1,Recipe_Enchantment_CorpseExplosion,enchantment,Enchantment_CorpseExplosion,Scroll of Corpse Explosion,2,,0,0.0
Enchantment_Fire,Scroll of Embers,Enchantments,1,Recipe_Enchantment_FlameThrower,enchantment,Enchantment_FlameThrower,Scroll Of Flame Thrower,2,,0,0.0
Enchantment_Fire,Scroll of Embers,Enchantments,1,Recipe_Enchantment_HolyFire,enchantment,Enchantment_HolyFire,Scroll of Holy Fire,2,,0,0.0
Enchantment_Fire,Scroll of Embers,Enchantments,1,Recipe_Enchantment_Lava,enchantment,Enchantment_Lava,Scroll of Lava,2,,0,0.0
Enchantment_Fire,Scroll of Embers,Enchantments,1,Recipe_Enchantment_Oil,enchantment,Enchantment_Petroleum,Scroll of Petroleum,2,,0,0.0
Enchantment_Fire,Scroll of Embers,Enchantments,2,Recipe_Enchantment_Pyroclasm,enchantment,Enchantment_Pyroclasm,Scroll of Explosions,2,,0,0.0
Enchantment_Fire,Scroll of Embers,Enchantments,1,Recipe_Enchantment_RocketLauncher,enchantment,Enchantment_RocketLauncher,Scroll of Rocket Launcher,2,,0,0.0
Enchantment_Fire,Scroll of Embers,Enchantments,1,Recipe_Enchantment_Steam,enchantment,Enchantment_Steam,Scroll of Steam,2,,0,0.0
Enchantment_Fire,Scroll of Embers,Enchantments,1,Recipe_Enchantment_Water,enchantment,Enchantment_Water,Scroll of Water,2,,0,0.0
Enchantment_Frost,Scroll of Frostbite,Enchantments,1,Recipe_Enchantment_CryoRocketLauncher,enchantment,Enchantment_CryoRocketLauncher,Scroll of Cryo Rocket Launcher,2,,0,0.0
Enchantment_Frost,Scroll of Frostbite,Enchantments,1,Recipe_Enchantment_CryoSnakes,enchantment,Enchantment_CryoSnakes,Scroll of Cryo Snakes,2,,0,0.0
Enchantment_Frost,Scroll of Frostbite,Enchantments,2,Recipe_Enchantment_Icebeam,enchantment,Enchantment_IceBeam,Scroll of Ice Beam,2,,0,0.0
Enchantment_Frost,Scroll of Frostbite,Enchantments,1,Recipe_Enchantment_Prism,enchantment,Enchantment_Prism,Scroll of Prism,2,,0,0.0
Enchantment_Frost,Scroll of Frostbite,Enchantments,1,Recipe_Enchantment_Slush,enchantment,Enchantment_Slush,Scroll of Slush,2,,0,0.0
Enchantment_Frost,Scroll of Frostbite,Enchantments,1,Recipe_Enchantment_SnowmanHead,enchantment,Enchantment_SnowmanHead,Scroll of Snowman Head,2,,0,0.0
Enchantment_Frost,Scroll of Frostbite,Enchantments,1,Recipe_Enchantment_Titanic,enchantment,Enchantment_Titanic,Scroll of Titanic,2,,0,0.0
Enchantment_Frost,Scroll of Frostbite,Enchantments,1,Recipe_Enchantment_Water,enchantment,Enchantment_Water,Scroll of Water,2,,0,0.0
Enchantment_Light,Scroll of Light,Enchantments/GunsAndMagic_ItemDefinitions,1,Recipe_Enchantment_Beamgun,enchantment,Enchantment_Beamgun,Scroll of Beamgun,2,,0,0.0
Enchantment_Light,Scroll of Light,Enchantments/GunsAndMagic_ItemDefinitions,1,Recipe_Enchantment_Charm,enchantment,Enchantment_Charm,Scroll of Charm,2,,0,0.0
Enchantment_Light,Scroll of Light,Enchantments/GunsAndMagic_ItemDefinitions,1,Recipe_Enchantment_Crusader,enchantment,Enchantment_Crusader,Scroll of Crusader,2,,0,0.0
Enchantment_Light,Scroll of Light,Enchantments/GunsAndMagic_ItemDefinitions,1,Recipe_Enchantment_HolyFire,enchantment,Enchantment_HolyFire,Scroll of Holy Fire,2,,0,0.0
Enchantment_Light,Scroll of Light,Enchantments/GunsAndMagic_ItemDefinitions,2,Recipe_Enchantment_HolyPurge,enchantment,Enchantment_HolyPurge,Scroll of Holy Purge,2,,0,0.0
Enchantment_Light,Scroll of Light,Enchantments/GunsAndMagic_ItemDefinitions,1,Recipe_Enchantment_HolyWater,enchantment,Enchantment_HolyWater,Scroll of Holy Water,2,,0,0.0
Enchantment_Light,Scroll of Light,Enchantments/GunsAndMagic_ItemDefinitions,1,Recipe_Enchantment_Metamorph,enchantment,Enchantment_Metamorph,Scroll of Metamorph,2,,0,0.0
Enchantment_Light,Scroll of Light,Enchantments/GunsAndMagic_ItemDefinitions,1,Recipe_Enchantment_Prism,enchantment,Enchantment_Prism,Scroll of Prism,2,,0,0.0
Enchantment_Light,Scroll of Light,Enchantments/GunsAndMagic_ItemDefinitions,1,Recipe_Enchantment_SacredGround,enchantment,Enchantment_SacredGround,Scroll of Sacred Ground,2,,0,0.0
