name,display,category,slots,basePrice,sellable,direct_consume_primary,num_recipes_using,best_use_recipe,best_use_product,best_use_product_per_slot,verdict
Item_VelvetBell,Velvet Bell,Consumables/Foodstuffs,1,10,1,1,235,Recipe_FullEnglishBreakfast_1 4,Full English Breakfast,17.5,KEEP
Item_Sugar,Sugar,Consumables/Foodstuffs,4,30,1,10,225,Recipe_EggToddy_1 1,Egg Toddy,7200.0,KEEP
Item_Rodsopp,Rödsopp,Consumables/Foodstuffs,1,15,1,5,210,Recipe_HealthPotion_3,Health Potion,80.0,KEEP
Item_SwingDing,Swing-Ding,Consumables/Foodstuffs,1,10,1,5,206,Recipe_FullEnglishBreakfast_1 3,Full English Breakfast,17.5,KEEP
Item_KarlOskar,Karl-Oskar,Consumables/Foodstuffs,1,10,1,5,203,Recipe_FullEnglishBreakfast_1 1,Full English Breakfast,17.5,KEEP
Item_Egg,Egg,Consumables/Foodstuffs,1,30,1,5,198,Recipe_EggToddy_1 1,Egg Toddy,7200.0,KEEP
Item_Broth,Broth,Consumables/Foodstuffs,2,40,1,10,185,Recipe_Fondue_4,Fondue,25.0,KEEP
Item_BottledWater,Bottled Water,Consumables/Drinks,2,40,1,5,117,Recipe_Wine_1 1,Red Wine,1200.0,KEEP
Item_Potato,Potato,Consumables/Foodstuffs,1,60,1,5,117,Recipe_FishnChips 1,Fish and chips,25.0,KEEP
Item_Bread,Bread,Consumables/Foodstuffs,2,90,1,15,110,Recipe_Cheeseburger_1 19,Double Cheeseburger,200.0,KEEP
Item_Cheese,Cheese,Consumables/Foodstuffs,1,100,1,15,105,Recipe_Cheeseburger_1 19,Double Cheeseburger,200.0,KEEP
Item_Rice,Rice,Consumables/Foodstuffs,4,30,1,5,97,Recipe_Unagi 1,Unagi,50.0,KEEP
Item_Bark,Bark,Misc,1,100,1,,92,Recipe_BarkBread 1,Bark bread,5.0,KEEP
Item_Fish,Fish,Consumables/Foodstuffs,1,40,1,10,89,Recipe_Surstromming 2,Surstromming,50.0,KEEP
