name,category,id,displayName,description,flavor,itemQuality,itemQuality_name,slotType,slotType_name,itemTags,itemTags_name,useType,useType_name,weightClass,weightClass_name,basePrice,sellable,stackSize,inventorySize,maxDurability,appliesEnchantment,modifiesCaliber,modifiersOnEquip,modifiersOnInventory,baseAttributes
Item_AddBanish,Abstract,980,Additional Banish for Endless,,Allows you to one additional Banish in the Endless. (Current amount BANISH_X),4,Legendary,0,None,0,None,0,Consumable,0,Knife,2,0,0,4x4,500,0,0,,,
Item_AddChoiceDraw,Abstract,981,Additional Choice Draw for Endless,,Allows you one additional choice in the Endless. (Current amount CHOICEDRAW_X)\n,4,Legendary,0,None,0,None,0,Consumable,0,Knife,20,0,0,4x4,500,0,0,,,
Item_AddReroll,Abstract,982,Additional Re-roll for Endless,,Allows you one additional Re-roll in the Endless. (Current amount REROLLS_X),4,Legendary,0,None,0,None,0,Consumable,0,Knife,5,0,0,4x4,500,0,0,,,
Ammo_12Ga,Ammo,1,Ammo Box (12ga),12 shells.,,0,Common,0,None,0,None,0,Consumable,0,Knife,70,1,0,2x1,1000,0,0,,,
Ammo_50BMG,Ammo,2,Ammo Box (50 BMG),6 rounds.,,0,Common,0,None,0,None,0,Consumable,0,Knife,100,1,0,2x1,1000,0,0,,,
Ammo_556,Ammo,3,Ammo Box (5.56mm),30 rounds.,,0,Common,0,None,0,None,0,Consumable,0,Knife,100,1,0,2x1,1000,0,0,,,
Ammo_762,Ammo,4,Ammo Box (7.62mm),30 rounds.,,0,Common,0,None,0,None,0,Consumable,0,Knife,120,1,0,1x2,1000,0,0,,,
Ammo_9mm,Ammo,5,Ammo Box (9mm),30 rounds.,,0,Common,0,None,0,None,0,Consumable,0,Knife,50,1,0,1x1,1000,0,0,,,
Ammo_EnergyCell,Ammo,6,Ammo Box (Energy Cells),30 cells.,,0,Common,0,None,0,None,0,Consumable,0,Knife,100,1,0,1x1,1000,0,0,,,
Attachment_A12CMuzzleBrake,Attachments,8,A12C Muzzle Brake,,A muzzle device designed to lower the recoil and spread of guns. Compatible with most barrels.,2,Rare,0,None,0,None,2,Attachment,0,Knife,480,1,0,1x1,1000,0,0,,,
Attachment_AssaultScope,Attachments,9,Assault Scope,Magnification: 4x,"A firearm optic with an 4x zoom factor, designed to be effective both in close and long range engagements.",2,Rare,0,None,0,None,2,Attachment,0,Knife,500,1,0,2x1,1000,0,0,,,
Attachment_BarrelExtension2i,Attachments,10,"Barrel Extension 2""",,"A two inch multi-caliber, multi-thread barrel extension to",2,Rare,0,None,0,None,2,Attachment,0,Knife,480,1,0,1x1,1000,0,0,,,
Attachment_BarrelExtension4i,Attachments,11,"Barrel Extension 4""",,A muzzle device designed to lower the recoil and spread of guns. Compatible with most barrels.,2,Rare,0,None,0,None,2,Attachment,0,Knife,480,1,0,2x1,1000,0,0,,,
Attachment_BarrelExtension6i,Attachments,12,"Barrel Extension 6""",,A muzzle device designed to lower the recoil and spread of guns. Compatible with most barrels.,2,Rare,0,None,0,None,2,Attachment,0,Knife,480,1,0,3x1,1000,0,0,,,
Attachment_BreznikBMD,Attachments,13,Breznik BMD,,A muzzle device designed to lower the recoil and spread of guns. Compatible with most barrels.,2,Rare,0,None,0,None,2,Attachment,0,Knife,480,1,0,1x1,1000,0,0,,,
Attachment_BreznikBMDTactical,Attachments,14,Breznik BMD (Tactical),,A muzzle device designed to lower the recoil and spread of guns. Compatible with most barrels.,2,Rare,0,None,0,None,2,Attachment,0,Knife,480,1,0,1x1,1000,0,0,,,
Attachment_CompactSight,Attachments,15,Compact Sight,Magnification: None,A compact collimator designed to be effective both in close to medium range engagements.,2,Rare,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_GunCrank,Attachments,16,Gun Crank,Turns semi automatic guns fully automatic.,A mechanical device that can turn any semi automatic gun fully automatic.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,680,1,0,1x1,1000,0,0,,,
