table,entry_kind,item,weight,drop_pct,table_total_weight,category
BossLoot_Cousin_Demo,item,.357 Balthazar,30.0,2.1676,1384.0,Boss
BossLoot_Cousin_Demo,item,Arbiter 2,200.0,14.4509,1384.0,Boss
BossLoot_Cousin_Demo,item,Augusta,15.0,1.0838,1384.0,Boss
BossLoot_Cousin_Demo,item,Breacher 8,30.0,2.1676,1384.0,Boss
BossLoot_Cousin_Demo,item,Catacoil Rapid X,8.0,0.578,1384.0,Boss
BossLoot_Cousin_Demo,item,Corpsemaker,8.0,0.578,1384.0,Boss
BossLoot_Cousin_Demo,item,Dolphin 99,30.0,2.1676,1384.0,Boss
BossLoot_Cousin_Demo,item,Drifter 9,250.0,18.0636,1384.0,Boss
BossLoot_Cousin_Demo,item,Gravekeeper,70.0,5.0578,1384.0,Boss
BossLoot_Cousin_Demo,item,Knop .22,200.0,14.4509,1384.0,Boss
BossLoot_Cousin_Demo,item,Mossman,200.0,14.4509,1384.0,Boss
BossLoot_Cousin_Demo,item,Palehorse Topclipper,20.0,1.4451,1384.0,Boss
BossLoot_Cousin_Demo,item,Ploika Compact,50.0,3.6127,1384.0,Boss
BossLoot_Cousin_Demo,item,Rektor 100rd,8.0,0.578,1384.0,Boss
BossLoot_Cousin_Demo,item,Rokua .308,10.0,0.7225,1384.0,Boss
BossLoot_Cousin_Demo,item,Snut .38,200.0,14.4509,1384.0,Boss
BossLoot_Cousin_Demo,item,Socom 9,15.0,1.0838,1384.0,Boss
BossLoot_Cousin_Demo,item,Star & Witness,15.0,1.0838,1384.0,Boss
BossLoot_Cousin_Demo,item,Type 80 Typhoon,10.0,0.7225,1384.0,Boss
BossLoot_Cousin_Demo,item,Vrede,15.0,1.0838,1384.0,Boss
BossLoot_Cousin_Full,item,.357 Balthazar,30.0,1.2937,2319.0,Boss
BossLoot_Cousin_Full,item,1884 Mario,100.0,4.3122,2319.0,Boss
BossLoot_Cousin_Full,item,Arbiter 2,200.0,8.6244,2319.0,Boss
BossLoot_Cousin_Full,item,Augusta,15.0,0.6468,2319.0,Boss
BossLoot_Cousin_Full,item,Beck 8,60.0,2.5873,2319.0,Boss
BossLoot_Cousin_Full,item,Bo,5.0,0.2156,2319.0,Boss
BossLoot_Cousin_Full,item,Breacher 8,30.0,1.2937,2319.0,Boss
BossLoot_Cousin_Full,item,Bronco 89,150.0,6.4683,2319.0,Boss
BossLoot_Cousin_Full,item,Catacoil Rapid X,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Corpsemaker,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Crypt key,10.0,0.4312,2319.0,Boss
BossLoot_Cousin_Full,item,D4RT,15.0,0.6468,2319.0,Boss
BossLoot_Cousin_Full,item,Death Star,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Dolphin 99,30.0,1.2937,2319.0,Boss
BossLoot_Cousin_Full,item,Drifter 9,250.0,10.7805,2319.0,Boss
BossLoot_Cousin_Full,item,Duhar,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Ferryman,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Flicker Zip,10.0,0.4312,2319.0,Boss
BossLoot_Cousin_Full,item,Flock,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Goblin Cooking,10.0,0.4312,2319.0,Boss
BossLoot_Cousin_Full,item,Gravekeeper,70.0,3.0185,2319.0,Boss
BossLoot_Cousin_Full,item,Impala Gravita,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Insurance,200.0,8.6244,2319.0,Boss
BossLoot_Cousin_Full,item,Katana,5.0,0.2156,2319.0,Boss
BossLoot_Cousin_Full,item,Knop .22,200.0,8.6244,2319.0,Boss
BossLoot_Cousin_Full,item,M11A2 Fisk,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,M182 Pierre-Fusil,30.0,1.2937,2319.0,Boss
BossLoot_Cousin_Full,item,M3 Termite,50.0,2.1561,2319.0,Boss
BossLoot_Cousin_Full,item,Majordome,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Mossman,200.0,8.6244,2319.0,Boss
BossLoot_Cousin_Full,item,Mowlock,100.0,4.3122,2319.0,Boss
BossLoot_Cousin_Full,item,Neuraxis F22,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Nunchaku,5.0,0.2156,2319.0,Boss
BossLoot_Cousin_Full,item,Palehorse Topclipper,20.0,0.8624,2319.0,Boss
BossLoot_Cousin_Full,item,Ploika Compact,100.0,4.3122,2319.0,Boss
BossLoot_Cousin_Full,item,Rektor 100rd,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Rokua .308,10.0,0.4312,2319.0,Boss
BossLoot_Cousin_Full,item,Sai,5.0,0.2156,2319.0,Boss
BossLoot_Cousin_Full,item,Salamander,40.0,1.7249,2319.0,Boss
BossLoot_Cousin_Full,item,Snut .38,200.0,8.6244,2319.0,Boss
BossLoot_Cousin_Full,item,Socom 9,15.0,0.6468,2319.0,Boss
BossLoot_Cousin_Full,item,Star & Witness,15.0,0.6468,2319.0,Boss
BossLoot_Cousin_Full,item,TailorMarksman,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Type 80 Typhoon,10.0,0.4312,2319.0,Boss
BossLoot_Cousin_Full,item,Valet,8.0,0.345,2319.0,Boss
BossLoot_Cousin_Full,item,Vrede,15.0,0.6468,2319.0,Boss
BossLoot_Cousin_Full,item,Wyatt PULSAR,10.0,0.4312,2319.0,Boss
BossLoot_DesertClaus_Full,item,Bo,4.0,5.0,80.0,Boss
