name,display,category_top,category,verdict,role,useType,recommendation,is_ingredient,is_food,best_dish,best_dish_per_slot,eat_buff,eat_per_slot,quality,basePrice,sellable
Item_ChickenLeg,Chicken Leg,Consumables,Consumables/Foodstuffs,KEEP-COOK,,None,ingredient → best dish 'Nashville Hot Chicken' @6000.0/slot,1,0,Nashville Hot Chicken,6000.0,,,Rare,60,1
Item_Snail,Snail,Consumables,Consumables/Foodstuffs,KEEP-COOK,,None,ingredient → best dish 'Escargot' @15.0/slot,1,0,Escargot,15.0,,,Common,20,1
Item_SpiceMix,Spice Mix,Consumables,Consumables/Foodstuffs,KEEP-COOK,,None,ingredient → best dish 'Hot Sauce' @12000.0/slot,1,0,Hot Sauce,12000.0,,,Common,30,1
Item_Bleach,Bleach,ConsumablesItems,ConsumablesItems,KEEP-COOK,repair-tool,ItemRepair,ingredient → best dish 'Lutfisk' @12.5/slot,1,0,Lutfisk,12.5,,,Common,120,1
Enchantment_Dark,Scroll of Dark,Enchantments,Enchantments,KEEP-COOK,enchant/oil,Enchantment,ingredient → best dish 'Scroll of Chaos Strike' @0.0/slot,1,0,Scroll of Chaos Strike,0.0,,,Epic,1000,1
Enchantment_Earth,Scroll of Earth,Enchantments,Enchantments,KEEP-COOK,enchant/oil,Enchantment,ingredient → best dish 'Scroll of Sacrifice' @0.0/slot,1,0,Scroll of Sacrifice,0.0,,,Epic,1000,1
Enchantment_Fire,Scroll of Embers,Enchantments,Enchantments,KEEP-COOK,enchant/oil,Enchantment,ingredient → best dish 'Scroll Of Flame Thrower' @0.0/slot,1,0,Scroll Of Flame Thrower,0.0,,,Epic,1000,1
Enchantment_Frost,Scroll of Frostbite,Enchantments,Enchantments,KEEP-COOK,enchant/oil,Enchantment,ingredient → best dish 'Scroll of Prism' @0.0/slot,1,0,Scroll of Prism,0.0,,,Epic,1000,1
Enchantment_Light,Scroll of Light,Enchantments,Enchantments/GunsAndMagic_ItemDefinitions,KEEP-COOK,enchant/oil,Enchantment,ingredient → best dish 'Scroll of Holy Fire' @0.0/slot,1,0,Scroll of Holy Fire,0.0,,,Epic,1000,1
Enchantment_Nature,Scroll of Nature,Enchantments,Enchantments,KEEP-COOK,enchant/oil,Enchantment,ingredient → best dish 'Scroll of Charm' @0.0/slot,1,0,Scroll of Charm,0.0,,,Epic,1000,1
Enchantment_Poison,Scroll of Plague,Enchantments,Enchantments,KEEP-COOK,enchant/oil,Enchantment,ingredient → best dish 'Scroll of Pesticide' @0.0/slot,1,0,Scroll of Pesticide,0.0,,,Epic,1000,1
Enchantment_Electricity,Scroll of Surge,Enchantments,Enchantments,KEEP-COOK,enchant/oil,Enchantment,ingredient → best dish 'Scroll of Chain Lightning' @0.0/slot,1,0,Scroll of Chain Lightning,0.0,,,Epic,1000,1
