source,attribute_name,base_value
GuardDog,Stat_MaxHealth,300
GuardDog,Stat_MeleeDamage,60
CryptCrystal,Stat_MaxHealth,1000
CryptCrystal,Resistance_Bleed,100
CryptCrystal,Resistance_Charm,100
CryptCrystal,Resistance_Earth,100
CryptCrystal,Resistance_Electric,100
CryptCrystal,Resistance_Explosive,100
CryptCrystal,Resistance_Fire,100
CryptCrystal,Resistance_Frost,100
CryptCrystal,Resistance_Holy,100
CryptCrystal,Resistance_Petrified,100
CryptCrystal,Resistance_Poison,100
HaradrianTest,Stat_MaxHealth,200
Player,Stat_MaxHealth,100
Player,Stat_MovementSpeed,1
Player,Stat_JumpDuration,1
Player,Stat_JumpPower,1
Player,Stat_SprintBonus,1
Player,Stat_SwimSpeed,1
Player,Stat_LuckGain,1
Player,Stat_WeaponWeightPenalty,1
Player,Stat_AimMovingBonus,1
Player,Stat_CrouchSlide,0
Player,Stat_CoyoteTime,0.15
Player,Stat_LungCapacity,10
Player,ExtraDamage_Melee,1
Player,ExtraDamage_Automatic,1
Player,ExtraDamage_AssaultRifle,1
Player,ExtraDamage_Revolver,1
Player,ExtraDamage_Pistol,1
Player,ExtraDamage_Rifle,1
Player,ExtraDamage_Shotgun,1
Player,ExtraDamage_SMG,1
Player,ExtraDamage_Sniper,1
Player,ExtraDamage_LMG,1
Player,Status_WearingGoggles,0
