name,type_name,output_name,output_display,qty_created,craftable,num_inputs,inputs_readable,inputs_raw
Recipe_Enchantment_ChainLightning,enchantment,Enchantment_ChainLightning,Scroll of Chain Lightning,1,1,1,Scroll of Surge x2,123:2
Recipe_Enchantment_ChaosStrike,enchantment,Enchantment_ChaosStrike,Scroll of Chaos Strike,1,1,2,Scroll of Surge x1; Scroll of Dark x1,123:1;103:1
Recipe_Enchantment_FlameThrower,enchantment,Enchantment_FlameThrower,Scroll Of Flame Thrower,1,1,2,Scroll of Embers x1; Scroll of Dark x1,136:1;103:1
Recipe_Enchantment_HolyFire,enchantment,Enchantment_HolyFire,Scroll of Holy Fire,1,1,2,Scroll of Light x1; Scroll of Embers x1,188:1;136:1
Recipe_Enchantment_HolyPurge,enchantment,Enchantment_HolyPurge,Scroll of Holy Purge,1,1,1,Scroll of Light x2,188:2
Recipe_Enchantment_Pesticide,enchantment,Enchantment_Pesticide,Scroll of Pesticide,1,1,2,Scroll of Water x1; Scroll of Plague x1,319:1;223:1
Recipe_Enchantment_Prism,enchantment,Enchantment_Prism,Scroll of Prism,1,1,2,Scroll of Light x1; Scroll of Frostbite x1,188:1;147:1
Recipe_Enchantment_Sacrifice,enchantment,Enchantment_Sacrifice,Scroll of Sacrifice,1,1,2,Scroll of Earth x1; Scroll of Dark x1,120:1;103:1
Recipe_Enchantment_Slush,enchantment,Enchantment_Slush,Scroll of Slush,1,1,2,Scroll of Water x1; Scroll of Frostbite x1,319:1;147:1
Recipe_Enchantment_ToxicLobotomy,enchantment,Enchantment_ToxicLobotomy,Scroll of Toxic Lobotomy,1,1,2,Scroll of Surge x1; Scroll of Plague x1,123:1;223:1
Recipe_Enchantment_Aftershock,enchantment,Enchantment_Aftershock,Scroll of Aftershock,1,1,1,Scroll of Earth x2,120:2
Recipe_Enchantment_Charm,enchantment,Enchantment_Charm,Scroll of Charm,1,1,2,Scroll of Light x1; Scroll of Nature x1,188:1;203:1
Recipe_Enchantment_CorpseExplosion,enchantment,Enchantment_CorpseExplosion,Scroll of Corpse Explosion,1,1,2,Scroll of Embers x1; Scroll of Plague x1,136:1;223:1
Recipe_Enchantment_CorrosiveBlood,enchantment,Enchantment_CorrosiveBlood,Scroll of Poison Blood,1,1,1,Scroll of Plague x2,223:2
Recipe_Enchantment_Crusader,enchantment,Enchantment_Crusader,Scroll of Crusader,1,1,2,Scroll of Plague x1; Scroll of Light x1,223:1;188:1
Recipe_Enchantment_Fear,enchantment,Enchantment_Fear,Scroll of Fear,1,1,2,Scroll of Dark x1; Scroll of Nature x1,103:1;203:1
Recipe_Enchantment_Lava,enchantment,Enchantment_Lava,Scroll of Lava,1,1,2,Scroll of Earth x1; Scroll of Embers x1,120:1;136:1
Recipe_Enchantment_LeastRestistance,enchantment,Enchantment_LeastResistance,Scroll of Least Resistance,1,1,2,Scroll of Nature x1; Scroll of Surge x1,203:1;123:1
Recipe_Enchantment_Noxiosa,enchantment,Enchantment_Noxiosa,Scroll of Noxiosa,1,1,2,Scroll of Plague x1; Scroll of Earth x1,223:1;120:1
Recipe_Enchantment_Oil,enchantment,Enchantment_Petroleum,Scroll of Petroleum,1,1,2,Scroll of Nature x1; Scroll of Embers x1,203:1;136:1
Recipe_Enchantment_Petrification,enchantment,Enchantment_Petrification,Scroll of Petrification,1,1,2,Scroll of Nature x1; Scroll of Earth x1,203:1;120:1
Recipe_Enchantment_Pyroclasm,enchantment,Enchantment_Pyroclasm,Scroll of Explosions,1,1,1,Scroll of Embers x2,136:2
Recipe_Enchantment_RocketLauncher,enchantment,Enchantment_RocketLauncher,Scroll of Rocket Launcher,1,1,2,Scroll of Embers x1; Scroll of Surge x1,136:1;123:1
Recipe_Enchantment_StormSurge,enchantment,Enchantment_StormSurge,Scroll of Storm Surge,1,1,2,Scroll of Earth x1; Scroll of Surge x1,120:1;123:1
Recipe_Enchantment_ThunderBolt,enchantment,Enchantment_Thunderbolt,Scroll of Thunderbolt,1,1,2,Scroll of Water x1; Scroll of Surge x1,319:1;123:1
Recipe_Enchantment_Voodoo,enchantment,Enchantment_Voodoo,Scroll of Voodoo,1,1,2,Scroll of Dark x1; Scroll of Plague x1,103:1;223:1
Recipe_Enchantment_Water,enchantment,Enchantment_Water,Scroll of Water,1,1,2,Scroll of Embers x1; Scroll of Frostbite x1,136:1;147:1
Recipe_Aspic 1,cooking,Item_Aspic,Aspic,1,1,2,Mystery Meat x1; Fatberg Chunk x1,576:1;448:1
Recipe_Aspic 2,cooking,Item_Aspic,Aspic,3,1,2,Mystery Meat x2; Fatberg Chunk x1,576:2;448:1
Recipe_Aspic 3,cooking,Item_Aspic,Aspic,2,1,2,Mystery Meat x1; Fatberg Chunk x2,576:1;448:2
Recipe_Aspic,cooking,Item_Aspic,Aspic,1,1,2,Mystery Meat x1; Jello x1,576:1;514:1
Recipe_BananaSulfs 1,cooking,Item_BananaSulfs,Banana Sulfs,3,1,2,Banana x2; Sugar x1,336:2;708:1
Recipe_BananaSulfs 2,cooking,Item_BananaSulfs,Banana Sulfs,3,1,2,Banana x1; Sugar x2,336:1;708:2
Recipe_BananaSulfs 3,cooking,Item_BananaSulfs,Banana Sulfs,5,1,2,Banana x2; Sugar x2,336:2;708:2
Recipe_BananaSulfs 4,cooking,Item_BananaSulfs,Banana Sulfs,5,1,3,Banana x1; Sugar x1; Solution x1,336:1;708:1;695:1
Recipe_BananaSulfs 5,cooking,Item_BananaSulfs,Banana Sulfs,7,1,3,Banana x2; Sugar x1; Solution x1,336:2;708:1;695:1
Recipe_BananaSulfs 6,cooking,Item_BananaSulfs,Banana Sulfs,7,1,3,Banana x1; Sugar x2; Solution x2,336:1;708:2;695:2
Recipe_BananaSulfs 7,cooking,Item_BananaSulfs,Banana Sulfs,9,1,3,Banana x2; Sugar x2; Solution x2,336:2;708:2;695:2
Recipe_BananaSulfs 8,cooking,Item_BananaSulfs,Banana Sulfs,7,1,3,Banana x1; Sugar x2; Solution x1,336:1;708:2;695:1
Recipe_BananaSulfs 9,cooking,Item_BananaSulfs,Banana Sulfs,7,1,3,Banana x1; Sugar x1; Solution x2,336:1;708:1;695:2
Recipe_BananaSulfs 10,cooking,Item_BananaSulfs,Banana Sulfs,8,1,3,Banana x2; Sugar x2; Solution x1,336:2;708:2;695:1
Recipe_BananaSulfs 11,cooking,Item_BananaSulfs,Banana Sulfs,8,1,3,Banana x2; Sugar x1; Solution x2,336:2;708:1;695:2
Recipe_BananaSulfs 12,cooking,Item_BananaSulfs,Banana Sulfs,2,1,2,Banana x1; Solution x1,336:1;695:1
Recipe_BananaSulfs 13,cooking,Item_BananaSulfs,Banana Sulfs,3,1,2,Banana x2; Solution x1,336:2;695:1
