name,displayName,itemQuality,itemQuality_name,weaponType,weaponType_name,caliber,caliber_name,caliber_baseDamage,pellets,damageMultiplier,weaponType_dmg_mult,computed_base_damage,rpm,shot_interval_s,iAmmoMax,fReloadTime,weightClass,weightClass_name,basePrice,damageType,damageType_name,bulletSpeed,shotsToReachFullSpread,iMaxAmmoPerShot,adsEnabled,category
Weapon_Arbiter2,Arbiter 2,0,Common,8,Shotgun,2,_12ga,20,8,2,1.0,40.0,45,1.33333,3,0,2,SMG,600,7,Normal,500,0,3,1,Weapons
Weapon_Augusta,Augusta,2,Rare,8,Shotgun,7,Laser,50,1,1,1.0,50.0,500,0.12,6,0,3,Rifle,3000,7,Normal,750,0,3,1,Weapons
Weapon_Balthazar,.357 Balthazar,3,Epic,6,Revolver,4,_762mm,100,1,1.25,1.6,200.0,80,0.75,4,1,1,Pistol,3200,7,Normal,500,2,1,1,Weapons
Weapon_Beck,Beck 8,1,Uncommon,5,Pistol,1,_9mm,60,1,1,1.0,60.0,800,0.075,26,2,2,SMG,1800,7,Normal,750,3,1,1,Weapons
Weapon_Blackwater,Blackwater,3,Epic,6,Revolver,5,_50BMG,200,1,1,1.6,320.0,200,0.3,12,1,3,Rifle,3200,7,Normal,500,2,1,1,Weapons
Weapon_Bo,Bo,0,Common,4,Melee,0,None,,,1,1.0,,0,,0,0,0,Knife,4000,7,Normal,0,0,1,0,Weapons
Weapon_Breacher8,Breacher 8,2,Rare,8,Shotgun,2,_12ga,20,8,2,1.0,40.0,60,1.0,8,2,5,Bigga,1900,7,Normal,600,0,8,1,Weapons
Weapon_Bronco,Bronco 89,1,Uncommon,5,Pistol,1,_9mm,60,1,1.5,1.0,90.0,80,0.75,10,0,1,Pistol,1500,7,Normal,750,2,1,1,Weapons
Weapon_CYB47,CYB47,2,Rare,1,AssaultRifle,7,Laser,50,1,1,1.2,60.0,500,0.12,47,2,3,Rifle,4500,7,Normal,750,2,1,1,Weapons
Weapon_Catacoil,Catacoil Rapid X,3,Epic,1,AssaultRifle,7,Laser,50,1,1,1.2,60.0,893,0.06719,30,2,2,SMG,8000,7,Normal,750,2,1,1,Weapons
Weapon_Cavalier,Cavalier,1,Uncommon,5,Pistol,1,_9mm,60,1,1,1.0,60.0,400,0.15,30,2,1,Pistol,4000,7,Normal,750,3,1,1,Weapons
Weapon_Chat-Pardeur98,Chat-Pardeur 98,3,Epic,3,LMG,4,_762mm,100,1,1.2,1.0,120.0,400,0.15,20,2,5,Bigga,3500,7,Normal,800,0,1,1,Weapons
Weapon_ChimeraRapid,Chimera Rapid,2,Rare,9,SMG,3,_556mm,80,1,1.1,1.0,88.0,750,0.08,22,2,2,SMG,4000,7,Normal,750,3,1,1,Weapons
Weapon_Corpsemaker,Corpsemaker,2,Rare,1,AssaultRifle,3,_556mm,80,1,1,1.2,96.0,666,0.09009,30,2,3,Rifle,4000,7,Normal,900,4,1,1,Weapons
Weapon_CryoGrenade,Cryogenic Grenade,0,Common,11,Throwable,0,None,,,1,1.0,,0,,1,0,0,Knife,150,7,Normal,0,0,1,0,Weapons
Weapon_D4RT,D4RT,3,Epic,10,Sniper,7,Laser,50,1,5,2.0,500.0,100,0.6,1,0.1,3,Rifle,3200,7,Normal,750,0,1,1,Weapons
Weapon_DeathStar,Death Star,3,Epic,9,SMG,3,_556mm,80,1,1,1.0,80.0,450,0.13333,15,2,2,SMG,3200,7,Normal,750,0,1,1,Weapons
Weapon_DeathsToll,Death's Toll,3,Epic,6,Revolver,4,_762mm,100,1,1.2,1.6,192.0,72,0.83333,4,1,2,SMG,7000,7,Normal,500,2,1,1,Weapons
Weapon_Dirk,P38 Dirk,0,Common,5,Pistol,1,_9mm,60,1,1,1.0,60.0,450,0.13333,7,1,1,Pistol,1,7,Normal,750,1,1,1,Weapons
Weapon_Dolphin99,Dolphin 99,1,Uncommon,10,Sniper,5,_50BMG,200,1,1.25,2.0,500.0,100,0.6,5,1,3,Rifle,3200,7,Normal,750,0,1,1,Weapons
Weapon_Drifter9,Drifter 9,0,Common,9,SMG,1,_9mm,60,1,1,1.0,60.0,350,0.17143,20,1,2,SMG,500,7,Normal,525,3,1,1,Weapons
